Samples	Description	Subject	Sex.Coriell	Ethnicity.Coriell	Alt_Pop_ID	Age	Scan_Date
GSM136441.CEL.gz	GM18956	GM18956	Female	JAPANESE	JPT	NA	05/13/05 11:39:06
GSM136442.CEL.gz	GM18942	GM18942	Female	JAPANESE	JPT	NA	06/10/05 14:36:07
GSM136443.CEL.gz	GM18944	GM18944	Male	JAPANESE	JPT	NA	06/10/05 14:11:11
GSM136444.CEL.gz	GM18945	GM18945	Male	JAPANESE	JPT	NA	06/10/05 14:04:54
GSM136445.CEL.gz	GM18949	GM18949	Female	JAPANESE	JPT	NA	06/10/05 14:17:26
GSM136506.CEL.gz	GM18952	GM18952	Male	JAPANESE	JPT	NA	06/10/05 14:23:45
GSM136507.CEL.gz	GM18943	GM18943	Male	JAPANESE	JPT	NA	06/23/05 12:21:25
GSM136508.CEL.gz	GM18947	GM18947	Female	JAPANESE	JPT	NA	06/23/05 12:27:41
GSM136509.CEL.gz	GM18948	GM18948	Male	JAPANESE	JPT	NA	06/23/05 12:39:50
GSM136510.CEL.gz	GM18953	GM18953	Male	JAPANESE	JPT	NA	06/23/05 12:45:48
GSM136514.CEL.gz	GM18961	GM18961	Male	JAPANESE	JPT	NA	06/23/05 12:33:54
GSM136515.CEL.gz	GM18970	GM18970	Male	JAPANESE	JPT	NA	06/23/05 12:51:46
GSM136516.CEL.gz	GM18540	GM18540	Female	HAN CHINESE	CHB	NA	06/27/05 14:22:33
GSM136517.CEL.gz	GM18542	GM18542	Female	HAN CHINESE	CHB	NA	06/27/05 14:35:34
GSM136518.CEL.gz	GM18550	GM18550	Female	HAN CHINESE	CHB	NA	06/27/05 14:07:01
GSM136520.CEL.gz	GM18552	GM18552	Female	HAN CHINESE	CHB	NA	06/27/05 14:41:42
GSM136521.CEL.gz	GM18555	GM18555	Female	HAN CHINESE	CHB	NA	06/27/05 15:31:05
GSM136522.CEL.gz	GM18959	GM18959	Male	JAPANESE	JPT	NA	06/27/05 14:01:02
GSM136523.CEL.gz	GM18960	GM18960	Male	JAPANESE	JPT	NA	06/27/05 13:54:59
GSM136524.CEL.gz	GM18965	GM18965	Male	JAPANESE	JPT	NA	06/27/05 15:25:05
GSM136528.CEL.gz	GM18966	GM18966	Male	JAPANESE	JPT	NA	06/27/05 14:12:59
GSM136529.CEL.gz	GM18967	GM18967	Male	JAPANESE	JPT	NA	06/27/05 14:29:25
GSM136530.CEL.gz	GM18968	GM18968	Female	JAPANESE	JPT	NA	06/27/05 15:19:05
GSM136531.CEL.gz	GM18971	GM18971	Male	JAPANESE	JPT	NA	07/07/05 11:45:40
GSM136532.CEL.gz	GM18972	GM18972	Female	JAPANESE	JPT	NA	07/07/05 11:51:51
GSM136534.CEL.gz	GM18973	GM18973	Female	JAPANESE	JPT	NA	07/07/05 11:58:20
GSM136535.CEL.gz	GM18974	GM18974	Male	JAPANESE	JPT	NA	07/07/05 12:04:26
GSM136536.CEL.gz	GM18975	GM18975	Female	JAPANESE	JPT	NA	07/07/05 12:10:29
GSM136537.CEL.gz	GM18976	GM18976	Female	JAPANESE	JPT	NA	07/07/05 12:16:28
GSM136538.CEL.gz	GM18978	GM18978	Female	JAPANESE	JPT	NA	06/13/06 12:50:29
GSM136539.CEL.gz	GM18980	GM18980	Female	JAPANESE	JPT	NA	06/13/06 12:33:08
GSM136540.CEL.gz	GM18969	GM18969	Female	JAPANESE	JPT	NA	08/18/05 12:02:01
GSM136541.CEL.gz	GM18987	GM18987	Female	JAPANESE	JPT	NA	08/18/05 12:08:24
GSM136542.CEL.gz	GM18990	GM18990	Male	JAPANESE	JPT	NA	08/18/05 14:04:15
GSM136543.CEL.gz	GM18991	GM18991	Female	JAPANESE	JPT	NA	08/18/05 12:14:18
GSM136544.CEL.gz	GM18992	GM18992	Female	JAPANESE	JPT	NA	08/18/05 13:24:15
GSM136545.CEL.gz	GM18995	GM18995	Male	JAPANESE	JPT	NA	08/18/05 13:36:11
GSM136546.CEL.gz	GM19005	GM19005	Male	JAPANESE	JPT	NA	08/18/05 14:24:21
GSM136547.CEL.gz	GM18524	GM18524	Male	HAN CHINESE	CHB	NA	08/18/05 14:18:04
GSM136548.CEL.gz	GM18529	GM18529	Female	HAN CHINESE	CHB	NA	08/18/05 14:11:08
GSM136549.CEL.gz	GM18532	GM18532	Female	HAN CHINESE	CHB	NA	08/18/05 13:30:11
GSM136550.CEL.gz	GM18547	GM18547	Female	HAN CHINESE	CHB	NA	08/18/05 14:30:52
GSM136551.CEL.gz	GM18561	GM18561	Male	HAN CHINESE	CHB	NA	08/18/05 14:37:27
GSM136552.CEL.gz	GM18994	GM18994	Male	JAPANESE	JPT	NA	09/29/05 14:35:24
GSM136553.CEL.gz	GM18526	GM18526	Female	HAN CHINESE	CHB	NA	09/29/05 14:42:10
GSM136555.CEL.gz	GM18537	GM18537	Female	HAN CHINESE	CHB	NA	09/29/05 15:05:51
GSM136556.CEL.gz	GM18593	GM18593	Female	HAN CHINESE	CHB	NA	09/29/05 14:49:08
GSM136557.CEL.gz	GM18603	GM18603	Male	HAN CHINESE	CHB	NA	09/29/05 15:19:19
GSM136558.CEL.gz	GM18605	GM18605	Male	HAN CHINESE	CHB	NA	09/29/05 15:12:40
GSM136559.CEL.gz	GM18545	GM18545	Female	HAN CHINESE	CHB	NA	10/07/05 13:22:42
GSM136563.CEL.gz	GM18558	GM18558	Male	HAN CHINESE	CHB	NA	10/07/05 13:36:35
GSM136564.CEL.gz	GM18563	GM18563	Male	HAN CHINESE	CHB	NA	10/07/05 13:43:08
GSM136565.CEL.gz	GM18566	GM18566	Female	HAN CHINESE	CHB	NA	10/07/05 13:28:47
GSM136566.CEL.gz	GM18577	GM18577	Female	HAN CHINESE	CHB	NA	10/07/05 13:56:05
GSM136567.CEL.gz	GM18582	GM18582	Female	HAN CHINESE	CHB	NA	10/07/05 13:49:52
GSM136568.CEL.gz	GM18592	GM18592	Female	HAN CHINESE	CHB	NA	10/07/05 14:02:18
GSM136569.CEL.gz	GM18999	GM18999	Female	JAPANESE	JPT	NA	10/07/05 14:49:12
GSM136570.CEL.gz	GM19000	GM19000	Male	JAPANESE	JPT	NA	10/07/05 14:36:49
GSM136571.CEL.gz	GM19003	GM19003	Female	JAPANESE	JPT	NA	10/07/05 15:01:47
GSM136572.CEL.gz	GM19007	GM19007	Male	JAPANESE	JPT	NA	10/07/05 15:08:00
GSM136573.CEL.gz	GM18573	GM18573	Female	HAN CHINESE	CHB	NA	10/07/05 14:43:03
GSM136574.CEL.gz	GM18579	GM18579	Female	HAN CHINESE	CHB	NA	10/07/05 14:55:19
GSM136575.CEL.gz	GM18576	GM18576	Female	HAN CHINESE	CHB	NA	10/28/05 12:12:44
GSM136576.CEL.gz	GM18964	GM18964	Female	JAPANESE	JPT	NA	10/28/05 13:48:39
GSM136577.CEL.gz	GM18981	GM18981	Female	JAPANESE	JPT	NA	10/28/05 13:07:48
GSM136658.CEL.gz	GM18622	GM18622	Male	HAN CHINESE	CHB	NA	11/18/05 15:30:14
GSM136659.CEL.gz	GM18594	GM18594	Female	HAN CHINESE	CHB	NA	11/18/05 15:11:51
GSM136660.CEL.gz	GM18611	GM18611	Male	HAN CHINESE	CHB	NA	11/18/05 14:59:38
GSM136661.CEL.gz	GM18564	GM18564	Female	HAN CHINESE	CHB	NA	11/18/05 14:19:06
GSM136662.CEL.gz	GM18612	GM18612	Male	HAN CHINESE	CHB	NA	11/18/05 14:32:47
GSM136663.CEL.gz	GM18621	GM18621	Male	HAN CHINESE	CHB	NA	11/18/05 14:13:06
